Precision,Recall,Threshold
0.02560951,0.999731644,2.25836E-06
0.025644768,0.999731644,2.27393E-06
0.025679433,0.999704809,2.29003E-06
0.025714885,0.999704809,2.30528E-06
0.025750435,0.999704809,2.32132E-06
0.025786083,0.999704809,2.33749E-06
0.025821831,0.999704809,2.35338E-06
0.025857677,0.999704809,2.36947E-06
0.025893623,0.999704809,2.38568E-06
0.025929687,0.999704809,2.40205E-06
0.025965834,0.999704809,2.41837E-06
0.026002081,0.999704809,2.43483E-06
0.026038449,0.999704809,2.45158E-06
0.026074899,0.999704809,2.46782E-06
0.026111452,0.999704809,2.48446E-06
0.026148108,0.999704809,2.5014E-06
0.026184885,0.999704809,2.51802E-06
0.026221765,0.999704809,2.53453E-06
0.026258732,0.999704809,2.55176E-06
0.026295802,0.999704809,2.56921E-06
0.026332978,0.999704809,2.58671E-06
0.026370258,0.999704809,2.60448E-06
0.026407644,0.999704809,2.62267E-06
0.026445137,0.999704809,2.64153E-06
0.026482736,0.999704809,2.66033E-06
0.026520442,0.999704809,2.67831E-06
0.026558256,0.999704809,2.69709E-06
0.026596178,0.999704809,2.7149E-06
0.026634208,0.999704809,2.73342E-06
0.026672347,0.999704809,2.75237E-06
0.026710595,0.999704809,2.77109E-06
0.026748953,0.999704809,2.78968E-06
0.026787422,0.999704809,2.80823E-06
0.026826001,0.999704809,2.8279E-06
0.026864692,0.999704809,2.84604E-06
0.026903495,0.999704809,2.86581E-06
0.026942409,0.999704809,2.8853E-06
0.026981456,0.999704809,2.90505E-06
0.027019872,0.999677973,2.92482E-06
0.027059125,0.999677973,2.94503E-06
0.027098493,0.999677973,2.96494E-06
0.027137975,0.999677973,2.98479E-06
0.027177573,0.999677973,3.00497E-06
0.027217286,0.999677973,3.02578E-06
0.027257116,0.999677973,3.04629E-06
0.027297062,0.999677973,3.06617E-06
0.027337125,0.999677973,3.08668E-06
0.027377307,0.999677973,3.10771E-06
0.027417606,0.999677973,3.12869E-06
0.027458025,0.999677973,3.15038E-06
0.027498562,0.999677973,3.17186E-06
