Accuracy,AUPR,AUC,F1 Score,Precision,Recall
0.9986045513095749,0.19789612925462155,0.5305316322417721,0.10344827586206896,0.3333333333333333,0.061224489795918366
0.9996779733791327,0.8724063674643888,0.8854032315849815,0.8604651162790697,0.9736842105263158,0.7708333333333334
0.9995169600686991,0.8005025991239518,0.9089565727126179,0.8,0.782608695652174,0.8181818181818182
0.9997853155860884,0.9068986884733986,0.9317913145425236,0.9047619047619048,0.95,0.8636363636363636
0.9995706311721769,0.7876610133104337,0.8499462712228669,0.7777777777777777,0.875,0.7
0.9997584800343495,0.8840224958596576,0.9124731356114334,0.88,0.9428571428571428,0.825
0.9998658222413053,0.9368992276865827,0.9624731356114336,0.9367088607594937,0.9487179487179487,0.925
0.9994364534134822,0.6565882691916567,0.7352538275584206,0.6037735849056604,0.8421052631578947,0.47058823529411764
0.9999463288965221,0.9706016530699871,0.9852806876175129,0.9705882352941176,0.9705882352941176,0.9705882352941176
0.9996511378273937,0.6548960825205994,0.7618644858797371,0.6285714285714286,0.7857142857142857,0.5238095238095238
0.9998121511378274,0.8167471733218835,0.8499865750187949,0.8,0.9333333333333333,0.7
0.9997853155860884,0.709171415746126,0.7999731536417085,0.6923076923076923,0.8181818181818182,0.6
0.9999194933447831,0.8846556379429931,0.8846153846153846,0.8695652173913044,1.0,0.7692307692307693
0.9997048089308717,0.41680084442536136,0.583319911235191,0.26666666666666666,0.6666666666666666,0.16666666666666666
1.0,1.0,1.0,1.0,1.0,1.0
0.9999463288965221,0.900026835551739,0.9,0.888888888888889,1.0,0.8
0.9999463288965221,0.8889157244406278,0.8888888888888888,0.8750000000000001,1.0,0.7777777777777778
0.9997853155860884,0.5556628977625113,0.5555555555555556,0.19999999999999998,1.0,0.1111111111111111
0.9999463288965221,0.8889023066647583,0.9444310234271314,0.8888888888888888,0.8888888888888888,0.8888888888888888
0.9999194933447831,0.7857545390418941,0.7857142857142857,0.7272727272727273,1.0,0.5714285714285714
0.9998926577930443,0.6857545390418941,0.7857008654174288,0.6666666666666666,0.8,0.5714285714285714
0.999973164448261,0.9166800844425361,0.9166666666666667,0.9090909090909091,1.0,0.8333333333333334
0.9999463288965221,0.8000134177758695,0.8999865804235219,0.8000000000000002,0.8,0.8
1.0,1.0,1.0,1.0,1.0,1.0
0.9998658222413053,0.35005367110347796,0.5999865804235218,0.28571428571428575,0.5,0.2
0.9998658222413053,0.5000670888793474,0.5,0.0,0.0,0.0
0.9998658222413053,0.5000670888793474,0.5,0.0,0.0,0.0
