Precision,Recall,Threshold
0.017860087,0.999973164,4.44945E-11
0.017877258,0.999973164,4.5712E-11
0.017894446,0.999973164,4.69654E-11
0.017911666,0.999973164,4.82258E-11
0.017928911,0.999973164,4.95114E-11
0.017946189,0.999973164,5.08497E-11
0.017963509,0.999973164,5.22364E-11
0.017980854,0.999973164,5.35654E-11
0.017998241,0.999973164,5.50244E-11
0.018015662,0.999973164,5.64761E-11
0.018033116,0.999973164,5.79867E-11
0.018050613,0.999973164,5.95612E-11
0.018068153,0.999973164,6.1124E-11
0.018085745,0.999973164,6.26953E-11
0.018103318,0.999973164,6.43234E-11
0.018120934,0.999973164,6.59872E-11
0.018138584,0.999973164,6.77451E-11
0.018156295,0.999973164,6.95075E-11
0.018174032,0.999973164,7.12541E-11
0.018191777,0.999973164,7.31138E-11
0.018209602,0.999973164,7.49433E-11
0.018227461,0.999973164,7.68852E-11
0.018245346,0.999973164,7.89058E-11
0.018263258,0.999973164,8.08553E-11
0.018281196,0.999973164,8.29114E-11
0.018299196,0.999973164,8.50068E-11
0.018317204,0.999973164,8.71577E-11
0.018335239,0.999973164,8.924E-11
0.018353328,0.999973164,9.13346E-11
0.018371434,0.999973164,9.35861E-11
0.018389585,0.999973164,9.58703E-11
0.018407763,0.999973164,9.82873E-11
0.018425986,0.999973164,1.0061E-10
0.018444272,0.999973164,1.02985E-10
0.018462595,0.999973164,1.05531E-10
0.018480917,0.999973164,1.08064E-10
0.018499286,0.999973164,1.10642E-10
0.018517699,0.999973164,1.13304E-10
0.018536122,0.999973164,1.16088E-10
0.018554582,0.999973164,1.18852E-10
0.018573078,0.999973164,1.21558E-10
0.018591621,0.999973164,1.24425E-10
0.018610191,0.999973164,1.27341E-10
0.018628827,0.999973164,1.30269E-10
0.01864749,0.999973164,1.33341E-10
0.018666172,0.999973164,1.36377E-10
0.01868492,0.999973164,1.39655E-10
0.018703677,0.999973164,1.42974E-10
0.018722491,0.999973164,1.46288E-10
0.018741352,0.999973164,1.49715E-10
0.018760233,0.999973164,1.53308E-10
0.018779161,0.999973164,1.56816E-10
0.018798127,0.999973164,1.60484E-10
0.01881714,0.999973164,1.64057E-10
0.018836183,0.999973164,1.67677E-10
0.018855255,0.999973164,1.71511E-10
0.018874356,0.999973164,1.75515E-10
0.018893563,0.999973164,1.79474E-10
0.018912771,0.999973164,1.83621E-10
0.018932027,0.999973164,1.87799E-10
0.018951303,0.999973164,1.92051E-10
0.018970628,0.999973164,1.96396E-10
0.018989993,0.999973164,2.00883E-10
0.019009378,0.999973164,2.05253E-10
0.019028812,0.999973164,2.09813E-10
0.019048305,0.999973164,2.14531E-10
0.019067819,0.999973164,2.19244E-10
0.019087364,0.999973164,2.23941E-10
0.019106948,0.999973164,2.29213E-10
0.019126572,0.999973164,2.3424E-10
0.019146237,0.999973164,2.39357E-10
0.019165942,0.999973164,2.44375E-10
0.019185678,0.999973164,2.49601E-10
0.019205485,0.999973164,2.54637E-10
0.019225332,0.999973164,2.60219E-10
0.019245211,0.999973164,2.66044E-10
0.01926512,0.999973164,2.71826E-10
0.019285081,0.999973164,2.7779E-10
0.019305063,0.999973164,2.83767E-10
0.019325097,0.999973164,2.89952E-10
0.019345172,0.999973164,2.96191E-10
0.01936532,0.999973164,3.02899E-10
0.019385479,0.999973164,3.09251E-10
0.01940569,0.999973164,3.16028E-10
0.019425954,0.999973164,3.22431E-10
0.01944627,0.999973164,3.29136E-10
0.019466608,0.999973164,3.35874E-10
0.019487009,0.999973164,3.4293E-10
0.019507473,0.999973164,3.50002E-10
0.01952793,0.999973164,3.57494E-10
0.019548429,0.999973164,3.65136E-10
0.019568981,0.999973164,3.72468E-10
0.019589577,0.999973164,3.79869E-10
0.019610206,0.999973164,3.87691E-10
0.019630868,0.999973164,3.95478E-10
0.019651595,0.999973164,4.03588E-10
0.019672354,0.999973164,4.11743E-10
0.019693148,0.999973164,4.20503E-10
0.019713466,0.999946329,4.29079E-10
0.019734379,0.999946329,4.37277E-10
0.019755335,0.999946329,4.45962E-10
0.019776337,0.999946329,4.5503E-10
0.019797383,0.999946329,4.64012E-10
0.019818473,0.999946329,4.73283E-10
0.019839588,0.999946329,4.82998E-10
0.019860779,0.999946329,4.92868E-10
0.019882006,0.999946329,5.02555E-10
0.019903256,0.999946329,5.12694E-10
0.019924584,0.999946329,5.23277E-10
0.019945936,0.999946329,5.34005E-10
0.019967366,0.999946329,5.44916E-10
0.01998881,0.999946329,5.55114E-10
0.020010278,0.999946329,5.66418E-10
0.020031836,0.999946329,5.77389E-10
0.020053451,0.999946329,5.8871E-10
0.020075081,0.999946329,6.00901E-10
0.020096768,0.999946329,6.12672E-10
0.02011848,0.999946329,6.24372E-10
0.020140228,0.999946329,6.36315E-10
0.020162067,0.999946329,6.48889E-10
0.02018391,0.999946329,6.61984E-10
0.020205832,0.999946329,6.74938E-10
0.020227781,0.999946329,6.87971E-10
0.020249766,0.999946329,7.01766E-10
0.020271799,0.999946329,7.1523E-10
0.020293881,0.999946329,7.29219E-10
0.020316043,0.999946329,7.43314E-10
0.020338254,0.999946329,7.58269E-10
0.020360558,0.999946329,7.72651E-10
0.020382878,0.999946329,7.87536E-10
0.020405213,0.999946329,8.02755E-10
0.020427675,0.999946329,8.18111E-10
0.020450154,0.999946329,8.33253E-10
0.020472636,0.999946329,8.49115E-10
0.020495158,0.999946329,8.65125E-10
0.020517751,0.999946329,8.81654E-10
0.020540394,0.999946329,8.98098E-10
0.020563087,0.999946329,9.14383E-10
0.020585819,0.999946329,9.31661E-10
0.020608613,0.999946329,9.48735E-10
0.02063148,0.999946329,9.66861E-10
0.020654409,0.999946329,9.85686E-10
0.020677367,0.999946329,1.00421E-09
0.020700341,0.999946329,1.02318E-09
0.020723389,0.999946329,1.04278E-09
0.020746488,0.999946329,1.06191E-09
0.020769628,0.999946329,1.08182E-09
0.020792831,0.999946329,1.10189E-09
0.020816097,0.999946329,1.12248E-09
0.020839415,0.999946329,1.14431E-09
0.020862774,0.999946329,1.16511E-09
0.020886198,0.999946329,1.18606E-09
0.020909662,0.999946329,1.20816E-09
0.020933155,0.999946329,1.22974E-09
0.020956725,0.999946329,1.25248E-09
0.020980372,0.999946329,1.27417E-09
0.02100406,0.999946329,1.29708E-09
0.02102779,0.999946329,1.32071E-09
0.021051561,0.999946329,1.34491E-09
0.02107541,0.999946329,1.36939E-09
0.021099326,0.999946329,1.39416E-09
0.021123295,0.999946329,1.41983E-09
0.021147296,0.999946329,1.44599E-09
0.021170794,0.999919493,1.47226E-09
0.021194975,0.999919493,1.49746E-09
0.021219152,0.999919493,1.52417E-09
0.021243407,0.999919493,1.55211E-09
0.021267658,0.999919493,1.58045E-09
0.021292024,0.999919493,1.6083E-09
0.021316435,0.999919493,1.63814E-09
0.021340877,0.999919493,1.66739E-09
0.021365399,0.999919493,1.69702E-09
0.021389954,0.999919493,1.72736E-09
0.021414614,0.999919493,1.75746E-09
0.021439294,0.999919493,1.78879E-09
0.021464019,0.999919493,1.82029E-09
0.021488825,0.999919493,1.8516E-09
0.021513689,0.999919493,1.88417E-09
0.021538574,0.999919493,1.91702E-09
0.021563515,0.999919493,1.95145E-09
0.021588515,0.999919493,1.98587E-09
0.021613585,0.999919493,2.02198E-09
0.021638701,0.999919493,2.05667E-09
0.021663307,0.999892658,2.09217E-09
0.021688552,0.999892658,2.12993E-09
0.021713831,0.999892658,2.16734E-09
0.021739232,0.999892658,2.20508E-09
0.021764667,0.999892658,2.244E-09
0.021790162,0.999892658,2.28372E-09
0.021815704,0.999892658,2.32251E-09
0.021841318,0.999892658,2.36179E-09
0.021866967,0.999892658,2.40245E-09
0.021892677,0.999892658,2.44341E-09
0.021918446,0.999892658,2.48512E-09
0.021944303,0.999892658,2.52711E-09
0.021970233,0.999892658,2.56967E-09
0.021996186,0.999892658,2.61281E-09
0.02202224,0.999892658,2.65727E-09
0.022048342,0.999892658,2.70174E-09
0.022074519,0.999892658,2.74853E-09
0.022100758,0.999892658,2.79335E-09
0.022127047,0.999892658,2.84066E-09
0.022153411,0.999892658,2.88851E-09
0.022179839,0.999892658,2.93736E-09
0.022206343,0.999892658,2.98611E-09
0.02223287,0.999892658,3.03771E-09
0.022259447,0.999892658,3.08965E-09
0.022286115,0.999892658,3.14125E-09
0.022312834,0.999892658,3.19575E-09
0.022339603,0.999892658,3.24815E-09
0.022366503,0.999892658,3.30306E-09
0.022393401,0.999892658,3.36077E-09
0.022420364,0.999892658,3.41685E-09
0.022447446,0.999892658,3.47334E-09
0.02247458,0.999892658,3.5297E-09
0.02250178,0.999892658,3.58978E-09
0.022529018,0.999892658,3.64912E-09
0.022556309,0.999892658,3.71143E-09
0.02258368,0.999892658,3.77187E-09
0.022609903,0.999838987,3.83372E-09
0.022636839,0.999812151,3.89789E-09
0.022664532,0.999812151,3.96249E-09
0.022692168,0.999812151,4.02591E-09
0.022719872,0.999812151,4.09087E-09
0.022747643,0.999812151,4.1581E-09
0.022775497,0.999812151,4.22715E-09
0.022803376,0.999812151,4.29669E-09
0.022831352,0.999812151,4.36879E-09
0.022859411,0.999812151,4.4424E-09
0.022887525,0.999812151,4.51542E-09
0.02291575,0.999812151,4.58625E-09
0.022943387,0.999785316,4.66104E-09
0.02297178,0.999785316,4.73752E-09
0.0230002,0.999785316,4.81481E-09
0.023028719,0.999785316,4.89459E-09
0.023057309,0.999785316,4.97522E-09
0.023085956,0.999785316,5.05475E-09
0.023113996,0.99975848,5.13749E-09
0.023142756,0.99975848,5.22285E-09
0.023171616,0.99975848,5.31017E-09
0.023200491,0.99975848,5.398E-09
0.023229437,0.99975848,5.48902E-09
0.023258587,0.99975848,5.57992E-09
0.023287679,0.99975848,5.66839E-09
0.023316873,0.99975848,5.76229E-09
0.023346126,0.99975848,5.85865E-09
0.023375466,0.99975848,5.95735E-09
0.02340491,0.99975848,6.0541E-09
0.023434414,0.99975848,6.15293E-09
0.023463962,0.99975848,6.25571E-09
0.023493615,0.99975848,6.35428E-09
0.023523358,0.99975848,6.45686E-09
0.023553161,0.99975848,6.5616E-09
0.023583129,0.99975848,6.66554E-09
0.023613054,0.99975848,6.77517E-09
0.0236431,0.99975848,6.88388E-09
0.023673177,0.99975848,6.99571E-09
0.023703346,0.99975848,7.11347E-09
0.023733577,0.99975848,7.22547E-09
0.023763916,0.99975848,7.33632E-09
0.023794317,0.99975848,7.45508E-09
0.023824765,0.99975848,7.57189E-09
0.023855276,0.99975848,7.69995E-09
0.023885881,0.99975848,7.82344E-09
0.023916595,0.99975848,7.94215E-09
0.023947373,0.99975848,8.07162E-09
0.023978307,0.99975848,8.19834E-09
0.02400926,0.99975848,8.33344E-09
0.024040292,0.99975848,8.45906E-09
0.024071451,0.99975848,8.58873E-09
0.02410266,0.99975848,8.72329E-09
0.024133935,0.99975848,8.86052E-09
0.024165369,0.99975848,8.99257E-09
0.024196791,0.99975848,9.13732E-09
0.024228263,0.99975848,9.27823E-09
0.024259197,0.999731644,9.42391E-09
0.024291007,0.999731644,9.57059E-09
0.024322773,0.999731644,9.71646E-09
0.024354623,0.999731644,9.87156E-09
0.02438654,0.999731644,1.00223E-08
0.024418605,0.999731644,1.01781E-08
0.02445069,0.999731644,1.03483E-08
0.024482988,0.999731644,1.05129E-08
0.024515307,0.999731644,1.06728E-08
0.024547744,0.999731644,1.08488E-08
0.024580299,0.999731644,1.10216E-08
0.024612844,0.999731644,1.12067E-08
0.024645441,0.999731644,1.13772E-08
0.024678126,0.999731644,1.15551E-08
0.02471093,0.999731644,1.17325E-08
0.024743772,0.999731644,1.19153E-08
0.024776767,0.999731644,1.21109E-08
0.024809867,0.999731644,1.22951E-08
0.024843039,0.999731644,1.24796E-08
0.02487625,0.999731644,1.26724E-08
0.024909533,0.999731644,1.28629E-08
0.024942905,0.999731644,1.30665E-08
0.024976384,0.999731644,1.32717E-08
0.02501002,0.999731644,1.34678E-08
0.025043696,0.999731644,1.36761E-08
0.025077463,0.999731644,1.38962E-08
0.025111287,0.999731644,1.41172E-08
0.025145304,0.999731644,1.43321E-08
